i,U,K,Px,Py,Pz,Ne
0,-137625700.61668426,59021240.27142092,1022.6976411822797,1788.3751086871628,471.32416534845345,0.0
1,-137645593.90387467,59046795.93567287,1022.6976411820856,1788.3751086871166,471.3241653482939,0.0
2,-137665390.68086842,59088727.67265889,1022.6976411830329,1788.3751086871764,471.32416534834965,0.0
3,-137684122.76199165,59177840.96524943,1022.6976411811173,1788.3751086871557,471.3241653483599,0.0
4,-137701649.11421815,59362151.754135124,1022.6976411807581,1788.375108687137,471.3241653483708,0.0
5,-137716711.34976196,59509192.444773495,1022.6976411809525,1788.3751086871353,471.32416534839194,0.0
6,-137729369.43956634,59543319.44161389,1022.6976411819062,1788.3751086871764,471.32416534812927,0.0
7,-137742069.49016282,59575436.24806504,1022.6976411829626,1788.3751086871268,471.3241653483654,0.0
8,-137752807.8808674,59607823.50821266,1022.6976411821521,1788.3751086871698,471.3241653483619,0.0
9,-137761969.04425728,59647318.02359609,1022.6976411824535,1788.3751086872085,471.3241653483928,0.0
10,-137769299.82638535,59673510.6137567,1022.6976411821485,1788.3751086871166,471.32416534835386,0.0
11,-137774237.22671688,59690453.4978311,1022.6976411816491,1788.3751086871537,471.32416534837756,0.0
12,-137777541.0917883,59814157.77548444,1022.6976411845552,1788.3751086872298,471.3241653483286,0.0
13,-137777695.36400074,59722528.97057161,1022.6976411831901,1788.3751086871973,471.3241653482982,2.0
14,-137776424.52039018,59743698.98882711,1022.6976411826263,1788.3751086871944,471.32416534834294,2.0
15,-137774355.68565875,59759055.593258455,1022.6976411806908,1788.3751086872453,471.3241653484781,2.0
16,-137770512.91711783,59791952.20365016,1022.6976411821577,1788.3751086871034,471.3241653483881,2.0
17,-137763621.41514117,59867744.38113126,1022.6976411818785,1788.3751086872517,471.3241653484217,2.0
18,-137755265.9829207,59875648.50779126,1022.6976411824713,1788.3751086871864,471.3241653484192,2.0
19,-137746195.4797096,59878720.08685037,1022.6976411792937,1788.375108687137,471.3241653483515,2.0
20,-137735451.8370888,59892114.49354662,1022.697641182309,1788.3751086871657,471.3241653484232,2.0
21,-137723403.71277928,59916796.457355715,1022.6976411801467,1788.375108687163,471.3241653483261,4.0
22,-137708772.9322989,59946909.56509177,1022.6976411833327,1788.375108687172,471.324165348392,6.0
23,-137690983.63610488,60019587.96886726,1022.6976411819854,1788.375108687253,471.3241653483124,6.0
24,-137674496.2278528,60020831.847014405,1022.6976411804284,1788.375108687174,471.32416534835596,6.0
25,-137657599.0571009,60019318.23686863,1022.6976411825766,1788.3751086871132,471.32416534840615,6.0
26,-137641001.2700847,60020219.169102095,1022.6976411806523,1788.3751086871132,471.3241653484033,6.0
27,-137623725.4108866,60023072.456751116,1022.697641181791,1788.3751086870936,471.3241653483723,6.0
28,-137606804.41208163,60039016.20167639,1022.6976411818115,1788.3751086871796,471.32416534837563,6.0
29,-137589030.13049448,60077358.41565748,1022.6976411856003,1788.3751086871212,471.3241653483883,6.0
30,-137570812.6757897,60077591.551826105,1022.6976411768793,1788.3751086871805,471.32416534838273,6.0
31,-137553784.9077673,60087683.23141787,1022.6976411819041,1788.3751086872853,471.3241653483875,6.0
32,-137536458.71416974,60099111.815896116,1022.6976411791961,1788.3751086870654,471.32416534838046,6.0
33,-137520345.19423765,60110801.47731485,1022.6976411789261,1788.3751086871748,471.3241653483455,6.0
34,-137504452.11942205,60148573.27286448,1022.6976411827775,1788.375108687224,471.324165348343,6.0
35,-137490560.98171392,60149052.00159336,1022.6976411817443,1788.375108687124,471.32416534841053,6.0
36,-137478245.79770234,60156913.59230059,1022.697641179669,1788.375108687236,471.32416534838404,6.0
37,-137468241.76454246,60161153.1753037,1022.6976411814552,1788.3751086872485,471.3241653484094,6.0
38,-137459775.18319157,60166788.5044613,1022.6976411837079,1788.3751086871018,471.32416534833067,6.0
39,-137453416.1073601,60170187.111008205,1022.6976411841397,1788.3751086870725,471.32416534844424,6.0
40,-137448706.8707412,60178415.92331329,1022.6976411788065,1788.3751086871875,471.3241653484282,6.0
41,-137445635.70758206,60192149.44773894,1022.6976411832628,1788.3751086872774,471.32416534840644,6.0
42,-137443703.57053536,60218086.60732773,1022.6976411839878,1788.3751086871475,471.3241653483813,6.0
43,-137442974.13629666,60238559.97973726,1022.6976411783588,1788.3751086871152,471.32416534834175,6.0
44,-137443048.98605606,60279612.41084382,1022.6976411801434,1788.3751086871741,471.32416534840166,6.0
45,-137443809.83752242,60340767.93459586,1022.6976411818731,1788.3751086871846,471.32416534840524,6.0
46,-137445886.81834224,60509729.319438025,1022.6976411807104,1788.3751086871914,471.3241653484391,6.0
47,-137447829.64080107,60525908.90582677,1022.6976411790298,1788.3751086872514,471.3241653483858,6.0
48,-137450427.16192314,60546985.0889212,1022.6976411807236,1788.3751086872505,471.3241653483524,6.0
49,-137453210.34441558,60593165.82449404,1022.6976411832258,1788.3751086871707,471.32416534837904,6.0
50,-137455300.26239383,60671318.95104626,1022.6976411775515,1788.3751086871807,471.32416534834636,6.0
51,-137456999.36966664,60704274.96292664,1022.697641179594,1788.3751086871694,471.324165348301,6.0
52,-137458422.3999419,60724860.95000448,1022.6976411752361,1788.3751086871657,471.3241653484433,6.0
53,-137460251.57000598,60760045.460256055,1022.697641185945,1788.3751086871746,471.32416534837205,6.0
54,-137462732.59128395,60830747.81338319,1022.6976411854362,1788.3751086872574,471.3241653483587,6.0
55,-137465565.76358333,60862406.079313844,1022.6976411791869,1788.375108687093,471.3241653484113,6.0
56,-137468470.8975094,60892854.46768637,1022.6976411797808,1788.3751086872012,471.324165348434,6.0
57,-137471316.3667402,60917343.00476803,1022.6976411786991,1788.3751086871907,471.32416534837245,6.0
58,-137474352.17067823,60940826.678774156,1022.6976411822739,1788.3751086872073,471.32416534839354,6.0
59,-137476475.78670925,60958304.956750594,1022.697641179591,1788.3751086871766,471.324165348409,6.0
60,-137478634.4280285,60982148.18927701,1022.697641181351,1788.375108687106,471.3241653483355,6.0
61,-137481167.3361274,61010418.60233259,1022.6976411792045,1788.375108687172,471.324165348406,6.0
62,-137483634.32507372,61129472.32407276,1022.6976411860492,1788.3751086871548,471.32416534842935,6.0
63,-137484700.53865737,61426024.58532692,1022.6976411839908,1788.3751086871962,471.32416534836824,6.0
64,-137486216.71596718,61440031.340718806,1022.6976411809022,1788.3751086872012,471.3241653484296,6.0
65,-137488526.8529455,61453582.6462495,1022.6976411810801,1788.3751086871823,471.32416534837995,6.0
66,-137490876.88500267,61483841.02807948,1022.6976411805689,1788.3751086871666,471.324165348368,6.0
67,-137494805.57204905,61522752.92471692,1022.6976411905908,1788.3751086872435,471.3241653484123,6.0
68,-137499148.1843702,61545404.60948283,1022.6976411823323,1788.375108687178,471.3241653484707,6.0
69,-137503767.32058197,61561757.02454,1022.697641179516,1788.37510868716,471.32416534839837,6.0
70,-137510140.08311862,61590283.927186064,1022.6976411766434,1788.3751086871703,471.32416534837677,6.0
71,-137517912.71743384,61628470.26696456,1022.6976411792764,1788.3751086871575,471.3241653484284,6.0
72,-137526189.12917995,61660208.69206732,1022.6976411812889,1788.3751086871657,471.3241653484011,6.0
73,-137535835.76535374,61679848.097847156,1022.6976411824592,1788.3751086871616,471.3241653483652,6.0
74,-137544922.5475559,61705450.89476823,1022.6976411772705,1788.3751086871068,471.32416534835363,6.0
75,-137555021.00262496,61726586.699512415,1022.6976411802601,1788.3751086871848,471.3241653483722,6.0
76,-137566558.0804287,61764058.240822926,1022.6976411786062,1788.3751086871819,471.32416534838325,6.0
77,-137577752.0438253,61809807.09863822,1022.6976411802427,1788.3751086871882,471.32416534835477,6.0
78,-137589831.54879758,61833805.20299776,1022.6976411838417,1788.3751086871744,471.32416534835914,6.0
79,-137601862.24639988,61859135.789508626,1022.6976411803818,1788.3751086871866,471.32416534839973,6.0
80,-137613630.52937785,61891542.5214718,1022.6976411862192,1788.3751086871555,471.3241653484109,6.0
81,-137626474.146331,61951477.06425348,1022.6976411807863,1788.3751086871387,471.32416534836653,6.0
82,-137639478.43785316,61981522.31681303,1022.6976411705681,1788.3751086871753,471.3241653483198,6.0
83,-137652149.2135169,62019038.06850206,1022.6976411822116,1788.3751086871782,471.3241653483506,6.0
84,-137665197.96437168,62056018.36375821,1022.6976411848298,1788.3751086871357,471.32416534836347,6.0
85,-137680156.22645703,62089326.08115456,1022.6976411847213,1788.3751086871173,471.32416534835875,6.0
86,-137695497.5128217,62150113.47069744,1022.6976411796792,1788.3751086871973,471.3241653483549,6.0
87,-137711940.31268358,62182104.67965664,1022.6976411879543,1788.3751086871705,471.3241653484399,6.0
88,-137729933.85245195,62213204.27288344,1022.697641180486,1788.3751086871282,471.3241653483579,6.0
89,-137748814.70322603,62243900.12975055,1022.6976411822411,1788.3751086871248,471.3241653483771,6.0
90,-137769148.91565946,62298848.47792041,1022.6976411817084,1788.3751086871807,471.3241653483864,6.0
91,-137789885.2249061,62368925.72958241,1022.6976411794598,1788.375108687186,471.3241653483819,6.0
92,-137811384.7806297,62449081.535487995,1022.6976411807779,1788.3751086872362,471.3241653484152,6.0
93,-137832358.11181194,62623919.05074333,1022.6976411833394,1788.3751086871366,471.3241653484027,6.0
94,-137854113.87210262,62679891.3452354,1022.6976411786845,1788.3751086870916,471.3241653483511,6.0
95,-137875396.67592555,62711462.56382541,1022.6976411879601,1788.3751086872112,471.32416534837165,6.0
96,-137898081.8537683,62745919.636430115,1022.6976411783509,1788.3751086872257,471.32416534827854,6.0
97,-137921048.37017056,62802972.045768335,1022.6976411797644,1788.3751086871964,471.3241653483891,6.0
98,-137945255.53643918,62899234.13188925,1022.6976411733442,1788.3751086871346,471.32416534842093,6.0
99,-137969756.1794536,62947664.653471954,1022.6976411802345,1788.3751086871416,471.3241653483905,6.0
100,-137995170.8494903,63001879.74576407,1022.6976411768982,1788.3751086872032,471.3241653483133,6.0
101,-138022063.2911531,63042885.27218158,1022.6976411854793,1788.3751086871682,471.324165348318,6.0
102,-138050040.8355058,63091520.31824179,1022.6976411725018,1788.375108687184,471.3241653484311,6.0
103,-138079423.38102356,63148968.40352214,1022.6976411779244,1788.3751086871812,471.32416534841377,6.0
104,-138110153.2201578,63186619.36599201,1022.6976411764281,1788.375108687233,471.3241653483579,6.0
105,-138143064.24792558,63229123.1781822,1022.6976411738892,1788.3751086872016,471.324165348429,6.0
106,-138177453.56332833,63278726.545498334,1022.6976411719223,1788.375108687144,471.32416534841576,6.0
107,-138212771.25118718,63325443.133133054,1022.6976411780101,1788.375108687166,471.32416534840706,6.0
108,-138250267.7883542,63414571.07496558,1022.6976411855385,1788.3751086872078,471.32416534839894,6.0
109,-138287969.2502706,63588097.47377474,1022.6976411749894,1788.3751086871891,471.32416534832873,6.0
110,-138326367.2821479,63667380.36692301,1022.6976411845585,1788.3751086872105,471.32416534830656,6.0
111,-138366033.53485626,63738879.23854287,1022.6976411839219,1788.3751086871453,471.32416534841883,6.0
112,-138405446.67168576,63791977.95837648,1022.6976411791886,1788.3751086871614,471.3241653484386,6.0
113,-138446414.82149845,63845508.74676181,1022.6976411807063,1788.3751086871453,471.324165348312,6.0
114,-138486870.5350012,63914200.50533167,1022.6976411833691,1788.3751086872007,471.324165348429,6.0
115,-138527852.60647097,63962263.916470155,1022.6976411824141,1788.3751086871953,471.32416534844174,6.0
116,-138569300.13614237,64034862.464086436,1022.6976411820355,1788.3751086871762,471.32416534846317,6.0
117,-138611241.07224503,64142296.274007685,1022.6976411728732,1788.375108687123,471.3241653483736,6.0
118,-138652277.44327298,64196986.810824186,1022.6976411855829,1788.375108687163,471.32416534837,6.0
119,-138693436.36962655,64248407.388534784,1022.6976411885388,1788.375108687175,471.32416534839723,6.0
120,-138734185.4025775,64312512.75617814,1022.6976411797463,1788.3751086871437,471.3241653484233,6.0
121,-138775714.9574512,64361023.960645154,1022.69764119439,1788.375108687147,471.3241653484072,6.0
122,-138816823.8958738,64415943.306840375,1022.6976411828924,1788.375108687173,471.32416534857293,6.0
123,-138858833.30726203,64636521.1776177,1022.6976411794877,1788.3751086871534,471.3241653484253,6.0
124,-138900592.5534911,64541630.65159868,1022.6976411678883,1788.3751086871484,471.32416534837563,8.0
125,-138942067.90819073,64612292.47323177,1022.6976411809409,1788.3751086871036,471.32416534844776,8.0
126,-138984983.27144945,64681545.733954,1022.6976411830675,1788.3751086871434,471.32416534843543,8.0
127,-139028532.11890233,64758060.5350903,1022.697641187648,1788.3751086871694,471.32416534848585,8.0
128,-139072132.43138117,64828143.65274157,1022.697641174911,1788.3751086871446,471.3241653484231,8.0
129,-139116913.36626348,64916480.88547743,1022.6976411845385,1788.3751086871846,471.3241653482701,8.0
130,-139162901.17201832,64983654.09765965,1022.6976411877914,1788.375108687181,471.3241653484932,8.0
131,-139209705.2030289,65040829.2967607,1022.697641186757,1788.375108687105,471.3241653483307,8.0
132,-139257558.72204566,65119396.59425167,1022.6976411913973,1788.375108687156,471.32416534850745,8.0
133,-139306085.3937257,65227435.22923595,1022.6976411808257,1788.3751086871746,471.3241653483968,8.0
134,-139355985.66797054,65306158.07665417,1022.6976411837848,1788.3751086871707,471.3241653484248,8.0
135,-139407145.27010837,65377173.37879387,1022.6976411815821,1788.3751086872091,471.3241653483448,8.0
136,-139458652.11283037,65454210.81626191,1022.6976411768184,1788.375108687156,471.32416534836074,8.0
137,-139511658.7630655,65521866.73819605,1022.6976411662029,1788.3751086871728,471.324165348347,8.0
138,-139565485.53430757,65598048.845910676,1022.6976411837096,1788.375108687105,471.3241653484095,8.0
139,-139620533.89720234,65664224.58937269,1022.6976411915143,1788.3751086872117,471.3241653483156,8.0
140,-139676272.4217965,65729431.017063946,1022.6976411844281,1788.3751086872044,471.3241653484754,8.0
141,-139733460.9557225,65800343.69583355,1022.697641187813,1788.3751086872485,471.3241653482304,8.0
142,-139792210.99571034,65874299.87333318,1022.6976411758934,1788.375108687143,471.32416534839865,8.0
143,-139852542.59463692,65955560.69994678,1022.6976411760925,1788.3751086870814,471.3241653485833,8.0
144,-139913246.44461414,66040971.12504788,1022.697641172837,1788.3751086871646,471.3241653483918,8.0
145,-139976039.79902408,66118809.63188514,1022.6976411880722,1788.3751086871748,471.3241653485127,8.0
146,-140039772.94121647,66196592.31740542,1022.6976411929818,1788.375108687183,471.32416534832964,8.0
147,-140104432.5422031,66322209.086373754,1022.6976411962878,1788.3751086872112,471.3241653483946,8.0
148,-140170020.98144984,66540541.386100896,1022.697641180241,1788.3751086871284,471.3241653485451,8.0
149,-140236410.1776614,66627026.481397964,1022.697641193573,1788.3751086871944,471.3241653482146,8.0
150,-140303332.01578254,66760738.02345415,1022.6976411923728,1788.375108687136,471.32416534829474,8.0
151,-140371705.85505244,66894166.213415936,1022.6976411854698,1788.375108687216,471.3241653483917,8.0
152,-140442139.02662954,66989826.10779689,1022.6976411663463,1788.3751086872205,471.3241653484434,8.0
153,-140513661.85630995,67097410.57462105,1022.6976411936524,1788.375108687117,471.3241653483259,8.0
154,-140586989.65871182,67183807.52854122,1022.6976411838153,1788.3751086871412,471.3241653483129,8.0
155,-140663344.64314047,67282115.09641282,1022.6976411629225,1788.37510868712,471.32416534853525,8.0
156,-140742821.86689195,67412106.96830453,1022.6976411889103,1788.3751086872169,471.3241653482624,8.0
157,-140824424.67046472,67587853.15899128,1022.6976411898066,1788.375108687175,471.3241653483544,8.0
158,-140908565.34125552,67828757.0672504,1022.6976411670561,1788.3751086871587,471.3241653484296,8.0
159,-140995648.03556028,67975021.22336672,1022.6976411718728,1788.3751086871712,471.32416534856037,8.0
160,-141084305.60782483,68127264.1069786,1022.6976411732322,1788.3751086871084,471.32416534827087,8.0
161,-141176331.22077957,68255533.99394926,1022.697641184555,1788.3751086871698,471.32416534843946,8.0
162,-141269607.43961877,68381292.18952541,1022.6976411797326,1788.3751086871478,471.3241653484821,8.0
163,-141365324.81485406,68547243.45697162,1022.6976411813332,1788.3751086871976,471.32416534843037,8.0
164,-141462207.72427115,68713294.5443698,1022.6976411805496,1788.3751086871534,471.32416534842696,8.0
165,-141560960.87165034,68833131.6468685,1022.6976411607826,1788.375108687182,471.32416534834863,8.0
166,-141661706.43173382,68951938.72001024,1022.6976411990162,1788.3751086871491,471.32416534843463,8.0
167,-141764248.13480508,69068804.01663223,1022.6976412022958,1788.3751086871175,471.32416534830776,8.0
168,-141869063.95005208,69196234.34117295,1022.6976411678663,1788.3751086871475,471.32416534829963,8.0
169,-141975594.99987295,69320441.62482044,1022.6976412057501,1788.3751086871478,471.32416534832714,8.0
170,-142084413.22922093,69437776.3817814,1022.6976411600702,1788.3751086871728,471.3241653483169,8.0
171,-142195832.09123304,69567676.87783219,1022.697641178231,1788.3751086871455,471.32416534849716,8.0
172,-142309520.49549347,69716604.0580266,1022.6976411934393,1788.3751086871557,471.3241653484347,8.0
173,-142425413.06349164,69844678.58650711,1022.6976411801927,1788.375108687076,471.3241653484548,8.0
174,-142544954.49682134,69978677.5845272,1022.6976411714695,1788.3751086871473,471.3241653483647,8.0
175,-142667694.35995743,70109362.02766784,1022.6976411777055,1788.3751086871364,471.32416534843907,8.0
176,-142793872.90465897,70257394.08634892,1022.6976411565282,1788.375108687147,471.3241653483317,8.0
177,-142923998.97471234,70427183.81954354,1022.6976411894266,1788.3751086871998,471.3241653483121,8.0
178,-143057757.65699503,70580490.33862574,1022.6976411683771,1788.3751086872282,471.3241653483179,8.0
179,-143195275.50862744,70761471.82812403,1022.6976411575163,1788.3751086871275,471.3241653484119,8.0
180,-143338407.88531458,70917033.73073831,1022.6976411887698,1788.3751086871307,471.32416534836113,8.0
181,-143486202.6615585,71104787.28743039,1022.6976411908795,1788.3751086871894,471.3241653483958,8.0
182,-143640015.34735334,71331692.73818982,1022.6976411750859,1788.3751086871694,471.3241653484023,8.0
183,-143799333.03029484,71503880.14028187,1022.6976411535227,1788.3751086871594,471.3241653483504,8.0
184,-143964668.71221823,71679861.4796427,1022.6976411814194,1788.3751086871546,471.32416534842224,8.0
185,-144135943.60729873,71860603.2609917,1022.6976411797399,1788.3751086871616,471.32416534839723,8.0
186,-144313868.87802494,72056237.95495173,1022.6976411917127,1788.375108687205,471.3241653483721,8.0
187,-144498214.0324001,72259472.5383893,1022.6976411826217,1788.37510868722,471.3241653484066,8.0
188,-144689233.296359,72468503.47615173,1022.6976411653661,1788.3751086871837,471.3241653483856,8.0
189,-144886028.03645027,72673598.14635342,1022.6976411591318,1788.3751086871778,471.32416534839444,8.0
190,-145090689.281349,72888542.24117735,1022.6976412042915,1788.3751086871541,471.3241653484032,8.0
191,-145301354.04475072,73111336.17084254,1022.697641173191,1788.3751086872123,471.32416534842775,8.0
192,-145517287.09235972,73339551.50569093,1022.6976411910058,1788.375108687089,471.3241653483528,8.0
193,-145739979.77540857,73569457.89631166,1022.6976411688061,1788.3751086871828,471.32416534836887,8.0
194,-145967867.45849606,73810480.72067644,1022.6976411745209,1788.3751086871516,471.3241653484118,8.0
195,-146201672.00291187,74058801.27578057,1022.6976411746579,1788.3751086871496,471.32416534834636,8.0
196,-146441032.005285,74350378.5572324,1022.6976411577288,1788.375108687164,471.3241653484189,10.0
197,-146683164.27891415,74736337.46184278,1022.6976411988534,1788.3751086871744,471.32416534837466,10.0
198,-146931522.50714597,75013415.28823504,1022.6976411657671,1788.3751086871719,471.3241653484307,10.0
199,-147185673.6612619,75290071.83996654,1022.6976411987266,1788.3751086872198,471.32416534844225,10.0
200,-147444683.39890856,75582895.67087956,1022.697641190786,1788.3751086871882,471.32416534841866,10.0
201,-147708699.93955925,75860841.61477295,1022.6976411690989,1788.3751086870932,471.3241653483996,10.0
